Asset_ID,AIC_unitless,MAPE_%,RMSE_$,ARIMA_order,Seasonal_order
100080,4767.19,60.28,1.74,"(1,1,1)","(0,0,0,0)"
100081,4690.45,47.43,2.42,"(1,1,1)","(0,0,0,0)"
300006,4664.49,35.28,2.27,"(1,1,1)","(0,0,0,0)"
300007,4617.37,42.24,1.88,"(1,1,1)","(0,0,0,0)"
300008,4744.43,35.66,1.24,"(1,1,1)","(0,0,0,0)"
300009,4641.37,54.91,1.82,"(1,1,1)","(0,0,0,0)"
300010,4546.52,45.55,2.19,"(1,1,1)","(0,0,0,0)"
300011,4560.9,73.27,1.77,"(1,1,1)","(0,0,0,0)"
300012,4570.46,36.93,1.37,"(1,1,1)","(0,0,0,0)"
300013,4643.89,58.33,1.57,"(1,1,1)","(0,0,0,0)"
300014,4666.04,51.97,1.61,"(1,1,1)","(0,0,0,0)"
300015,4560.81,50.83,1.73,"(1,1,1)","(0,0,0,0)"
300016,4661.54,52.25,1.23,"(1,1,1)","(0,0,0,0)"
300017,4610.49,46.9,1.68,"(1,1,1)","(0,0,0,0)"
300018,4600.43,30.78,1.24,"(1,1,1)","(0,0,0,0)"
300019,4619.2,55.98,2.42,"(1,1,1)","(0,0,0,0)"
300020,4659.49,45.39,1.78,"(1,1,1)","(0,0,0,0)"
300021,4655.05,63.54,2.4,"(1,1,1)","(0,0,0,0)"
300022,4622.06,46.56,2.16,"(1,1,1)","(0,0,0,0)"
300023,4777.18,36.82,1.86,"(1,1,1)","(0,0,0,0)"
300024,4656.71,55.59,2.28,"(1,1,1)","(0,0,0,0)"
300025,4648.35,46.64,1.85,"(1,1,1)","(0,0,0,0)"
300026,4623.11,41.7,1.37,"(1,1,1)","(0,0,0,0)"
300027,4616.75,64.7,1.99,"(1,1,1)","(0,0,0,0)"
300028,4564.96,51.74,2.2,"(1,1,1)","(0,0,0,0)"
300029,4710.59,75.35,2.08,"(1,1,1)","(0,0,0,0)"
300030,4563.15,55.05,1.28,"(1,1,1)","(0,0,0,0)"
300031,4549.83,68.98,1.47,"(1,1,1)","(0,0,0,0)"
300032,4777.54,55.88,1.96,"(1,1,1)","(0,0,0,0)"
300033,4623.05,32.72,1.81,"(1,1,1)","(0,0,0,0)"
300034,4564.42,52.23,2.44,"(1,1,1)","(0,0,0,0)"
300035,4714.19,47.51,1.54,"(1,1,1)","(0,0,0,0)"
300036,4607.0,49.02,1.55,"(1,1,1)","(0,0,0,0)"
300037,4717.19,49.91,1.87,"(1,1,1)","(0,0,0,0)"
300038,4786.38,56.43,1.41,"(1,1,1)","(0,0,0,0)"
300039,4652.51,35.28,1.9,"(1,1,1)","(0,0,0,0)"
600053,4669.76,47.32,1.74,"(1,1,1)","(0,0,0,0)"
600054,4515.55,36.6,2.08,"(1,1,1)","(0,0,0,0)"
600055,4423.97,39.98,3.03,"(1,1,1)","(0,0,0,0)"
600056,4726.45,62.84,2.12,"(1,1,1)","(0,0,0,0)"
600057,4632.64,35.5,1.71,"(1,1,1)","(0,0,0,0)"
600058,4531.36,52.99,1.83,"(1,1,1)","(0,0,0,0)"
600059,4768.09,46.96,2.47,"(1,1,1)","(0,0,0,0)"
600060,4471.75,38.16,1.55,"(1,1,1)","(0,0,0,0)"
600061,4582.77,52.98,1.51,"(1,1,1)","(0,0,0,0)"
600062,4656.35,41.34,1.77,"(1,1,1)","(0,0,0,0)"
600063,4565.45,70.9,2.69,"(1,1,1)","(0,0,0,0)"
600064,4605.23,47.1,2.17,"(1,1,1)","(0,0,0,0)"
600065,4662.57,22.86,1.53,"(1,1,1)","(0,0,0,0)"
600066,4550.95,48.37,1.65,"(1,1,1)","(0,0,0,0)"
600067,4797.54,40.9,1.86,"(1,1,1)","(0,0,0,0)"
600068,4840.93,41.2,2.7,"(1,1,1)","(0,0,0,0)"
600069,4527.06,75.64,2.41,"(1,1,1)","(0,0,0,0)"
600070,4736.21,52.28,2.33,"(1,1,1)","(0,0,0,0)"
600071,4751.4,48.39,2.46,"(1,1,1)","(0,0,0,0)"
600072,4811.34,51.93,1.45,"(1,1,1)","(0,0,0,0)"
600073,4566.73,47.88,1.71,"(1,1,1)","(0,0,0,0)"
600074,4665.6,60.79,1.9,"(1,1,1)","(0,0,0,0)"
600075,4550.46,55.98,1.93,"(1,1,1)","(0,0,0,0)"
600076,4600.96,71.15,2.6,"(1,1,1)","(0,0,0,0)"
600077,4679.07,46.15,2.08,"(1,1,1)","(0,0,0,0)"
600078,4513.59,52.21,1.8,"(1,1,1)","(0,0,0,0)"
600079,4627.54,42.4,1.52,"(1,1,1)","(0,0,0,0)"
600080,4767.36,49.49,2.24,"(1,1,1)","(0,0,0,0)"
600081,4478.82,54.12,2.16,"(1,1,1)","(0,0,0,0)"
600082,4618.95,47.98,2.16,"(1,1,1)","(0,0,0,0)"
600083,4777.92,78.08,3.13,"(1,1,1)","(0,0,0,0)"
600084,4694.37,35.71,2.1,"(1,1,1)","(0,0,0,0)"
600085,4725.75,42.95,1.45,"(1,1,1)","(0,0,0,0)"
