Asset_Number,Lag,ACF_Value
100080,0,1.0
100080,1,-0.0171
100080,2,-0.1266
100080,3,-0.0598
100080,4,-0.091
100080,5,-0.0871
100080,6,-0.0306
100080,7,-0.0374
100080,8,-0.0288
100080,9,-0.0426
100080,10,0.0152
100080,11,0.0023
100080,12,0.0244
100080,13,-0.0039
100080,14,-0.0288
100080,15,-0.0337
100080,16,0.0716
100080,17,-0.032
100080,18,0.0442
100080,19,0.0121
100080,20,-0.0309
100081,0,1.0
100081,1,-0.0177
100081,2,-0.1417
100081,3,-0.0831
100081,4,-0.049
100081,5,-0.0275
100081,6,-0.0406
100081,7,-0.0158
100081,8,-0.0696
100081,9,-0.0398
100081,10,-0.0059
100081,11,-0.0378
100081,12,-0.007
100081,13,0.0056
100081,14,0.0477
100081,15,0.0583
100081,16,-0.0035
100081,17,-0.0357
100081,18,0.0379
100081,19,-0.0263
100081,20,-0.0156
300006,0,1.0
300006,1,-0.0203
300006,2,-0.1511
300006,3,-0.118
300006,4,-0.0913
300006,5,-0.0462
300006,6,-0.0713
300006,7,-0.013
300006,8,0.0438
300006,9,0.0418
300006,10,-0.0179
300006,11,-0.0329
300006,12,-0.0369
300006,13,-0.0222
300006,14,0.0128
300006,15,0.0203
300006,16,0.0186
300006,17,-0.0213
300006,18,0.0475
300006,19,0.0211
300006,20,-0.026
300007,0,1.0
300007,1,-0.0192
300007,2,-0.133
300007,3,-0.0974
300007,4,-0.0861
300007,5,-0.0214
300007,6,-0.053
300007,7,-0.0168
300007,8,-0.009
300007,9,-0.0233
300007,10,-0.0438
300007,11,-0.0446
300007,12,0.0499
300007,13,0.0154
300007,14,-0.0132
300007,15,-0.0706
300007,16,0.0104
300007,17,0.0793
300007,18,-0.0016
300007,19,-0.053
300007,20,0.0095
300008,0,1.0
300008,1,-0.0199
300008,2,-0.1463
300008,3,-0.0967
300008,4,-0.0558
300008,5,-0.0635
300008,6,-0.042
300008,7,-0.0269
300008,8,-0.0316
300008,9,-0.0305
300008,10,-0.0014
300008,11,0.0327
300008,12,-0.0195
300008,13,0.0406
300008,14,-0.0015
300008,15,-0.0206
300008,16,-0.0335
300008,17,0.0224
300008,18,0.0754
300008,19,-0.0667
300008,20,-0.0444
300009,0,1.0
300009,1,-0.0201
300009,2,-0.1522
300009,3,-0.1003
300009,4,-0.0375
300009,5,-0.0725
300009,6,-0.0684
300009,7,-0.0446
300009,8,-0.0478
300009,9,-0.002
300009,10,0.0688
300009,11,0.0306
300009,12,-0.048
300009,13,-0.0286
300009,14,0.0803
300009,15,0.046
300009,16,-0.0393
300009,17,-0.0496
300009,18,-0.0716
300009,19,-0.0367
300009,20,0.0351
300010,0,1.0
300010,1,-0.0554
300010,2,-0.1409
300010,3,-0.0852
300010,4,-0.0752
300010,5,-0.0665
300010,6,-0.0042
300010,7,-0.0078
300010,8,0.024
300010,9,-0.0042
300010,10,-0.0318
300010,11,0.0208
300010,12,-0.0455
300010,13,-0.0199
300010,14,0.0449
300010,15,-0.0116
300010,16,-0.0215
300010,17,-0.0288
300010,18,-0.0127
300010,19,0.0215
300010,20,0.0351
300011,0,1.0
300011,1,-0.0219
300011,2,-0.1397
300011,3,-0.0943
300011,4,-0.0982
300011,5,-0.0636
300011,6,-0.0901
300011,7,0.0237
300011,8,0.0406
300011,9,-0.0286
300011,10,0.027
300011,11,-0.0179
300011,12,-0.0284
300011,13,-0.0361
300011,14,-0.0113
300011,15,0.0019
300011,16,-0.0199
300011,17,-0.0028
300011,18,0.0209
300011,19,-0.0049
300011,20,0.02
300012,0,1.0
300012,1,-0.022
300012,2,-0.1331
300012,3,-0.114
300012,4,-0.0775
300012,5,-0.0178
300012,6,-0.0281
300012,7,-0.0461
300012,8,-0.0787
300012,9,-0.0383
300012,10,-0.038
300012,11,0.0734
300012,12,-0.0053
300012,13,0.0236
300012,14,-0.0089
300012,15,0.007
300012,16,0.0112
300012,17,0.0049
300012,18,-0.0095
300012,19,0.017
300012,20,-0.0229
300013,0,1.0
300013,1,-0.0206
300013,2,-0.1304
300013,3,-0.1191
300013,4,-0.1018
300013,5,-0.0848
300013,6,-0.0039
300013,7,0.009
300013,8,0.0138
300013,9,-0.0256
300013,10,0.0203
300013,11,0.0356
300013,12,-0.0207
300013,13,-0.0268
300013,14,-0.0346
300013,15,-0.0456
300013,16,0.0012
300013,17,0.0125
300013,18,-0.0145
300013,19,0.034
300013,20,-0.0246
300014,0,1.0
300014,1,-0.0181
300014,2,-0.1225
300014,3,-0.1124
300014,4,-0.0367
300014,5,-0.1115
300014,6,-0.0531
300014,7,-0.0077
300014,8,-0.0001
300014,9,0.0248
300014,10,-0.0065
300014,11,-0.011
300014,12,-0.0428
300014,13,-0.0059
300014,14,-0.0465
300014,15,0.0591
300014,16,0.0189
300014,17,-0.0105
300014,18,-0.0259
300014,19,0.0185
300014,20,-0.0359
300015,0,1.0
300015,1,-0.0219
300015,2,-0.1517
300015,3,-0.0895
300015,4,-0.0377
300015,5,-0.0296
300015,6,-0.0654
300015,7,-0.0275
300015,8,-0.006
300015,9,-0.0075
300015,10,-0.0272
300015,11,-0.0114
300015,12,0.0164
300015,13,-0.0085
300015,14,-0.0237
300015,15,0.0306
300015,16,0.0205
300015,17,-0.0201
300015,18,0.0354
300015,19,-0.0529
300015,20,-0.0462
300016,0,1.0
300016,1,-0.0241
300016,2,-0.1589
300016,3,-0.0977
300016,4,-0.0378
300016,5,-0.0518
300016,6,-0.0564
300016,7,0.0009
300016,8,-0.0385
300016,9,-0.026
300016,10,-0.0206
300016,11,0.0045
300016,12,-0.019
300016,13,0.0011
300016,14,0.0154
300016,15,0.0319
300016,16,0.0139
300016,17,0.0032
300016,18,-0.0556
300016,19,0.0196
300016,20,0.0165
300017,0,1.0
300017,1,-0.0218
300017,2,-0.1549
300017,3,-0.1084
300017,4,-0.0882
300017,5,-0.0878
300017,6,-0.0681
300017,7,0.0408
300017,8,0.0097
300017,9,-0.0113
300017,10,0.0097
300017,11,-0.0189
300017,12,0.0607
300017,13,0.001
300017,14,-0.0601
300017,15,-0.0462
300017,16,-0.0215
300017,17,0.0244
300017,18,0.0315
300017,19,0.0621
300017,20,0.0166
300018,0,1.0
300018,1,-0.0184
300018,2,-0.1426
300018,3,-0.0934
300018,4,-0.0831
300018,5,-0.0732
300018,6,-0.0208
300018,7,-0.0042
300018,8,-0.0521
300018,9,-0.0056
300018,10,0.0106
300018,11,-0.0209
300018,12,0.0082
300018,13,0.0
300018,14,-0.0476
300018,15,-0.0119
300018,16,0.0254
300018,17,0.1317
300018,18,-0.0228
300018,19,-0.0674
300018,20,0.0071
300019,0,1.0
300019,1,-0.0294
300019,2,-0.1382
300019,3,-0.1355
300019,4,-0.1058
300019,5,-0.077
300019,6,-0.0401
300019,7,0.0367
300019,8,0.0254
300019,9,-0.0323
300019,10,0.073
300019,11,-0.0201
300019,12,-0.037
300019,13,-0.0171
300019,14,0.051
300019,15,-0.0249
300019,16,-0.0457
300019,17,0.0625
300019,18,-0.0316
300019,19,0.0053
300019,20,0.005
300020,0,1.0
300020,1,-0.0223
300020,2,-0.1527
300020,3,-0.101
300020,4,-0.0517
300020,5,-0.0179
300020,6,-0.0498
300020,7,0.0139
300020,8,0.0083
300020,9,0.0014
300020,10,-0.0502
300020,11,-0.0342
300020,12,0.0176
300020,13,-0.0185
300020,14,-0.0504
300020,15,-0.0562
300020,16,0.0261
300020,17,0.0209
300020,18,-0.0103
300020,19,0.0414
300020,20,0.004
300021,0,1.0
300021,1,-0.021
300021,2,-0.1257
300021,3,-0.0952
300021,4,-0.0593
300021,5,-0.0905
300021,6,-0.0536
300021,7,-0.0103
300021,8,-0.0229
300021,9,-0.0322
300021,10,0.0423
300021,11,-0.0202
300021,12,0.0427
300021,13,-0.0156
300021,14,-0.0056
300021,15,-0.0478
300021,16,0.004
300021,17,0.0308
300021,18,0.0162
300021,19,-0.0054
300021,20,-0.0138
300022,0,1.0
300022,1,-0.0252
300022,2,-0.1283
300022,3,-0.0902
300022,4,-0.0789
300022,5,-0.0704
300022,6,-0.0833
300022,7,-0.0296
300022,8,-0.0267
300022,9,-0.0069
300022,10,0.0559
300022,11,0.0225
300022,12,-0.0173
300022,13,-0.0258
300022,14,0.0162
300022,15,0.0637
300022,16,-0.0382
300022,17,-0.0287
300022,18,-0.0528
300022,19,0.0272
300022,20,0.0166
300023,0,1.0
300023,1,-0.0165
300023,2,-0.1296
300023,3,-0.0909
300023,4,-0.036
300023,5,-0.0463
300023,6,-0.102
300023,7,-0.0267
300023,8,-0.0097
300023,9,-0.0218
300023,10,-0.0384
300023,11,0.022
300023,12,0.0043
300023,13,0.0693
300023,14,0.0012
300023,15,-0.0297
300023,16,-0.0019
300023,17,-0.0123
300023,18,-0.0191
300023,19,-0.0266
300023,20,-0.011
300024,0,1.0
300024,1,-0.0215
300024,2,-0.1501
300024,3,-0.0936
300024,4,-0.0533
300024,5,-0.0375
300024,6,-0.0478
300024,7,-0.0351
300024,8,-0.0394
300024,9,-0.0331
300024,10,0.0369
300024,11,-0.0204
300024,12,-0.028
300024,13,0.048
300024,14,0.0103
300024,15,0.0073
300024,16,0.0103
300024,17,-0.0155
300024,18,-0.0002
300024,19,0.0366
300024,20,-0.0667
300025,0,1.0
300025,1,-0.0267
300025,2,-0.1498
300025,3,-0.1117
300025,4,-0.0757
300025,5,-0.0164
300025,6,-0.0595
300025,7,0.0105
300025,8,0.0046
300025,9,-0.0038
300025,10,0.0079
300025,11,-0.0508
300025,12,0.0225
300025,13,-0.0543
300025,14,-0.0093
300025,15,-0.0138
300025,16,0.0042
300025,17,0.0388
300025,18,-0.0208
300025,19,0.026
300025,20,-0.0045
300026,0,1.0
300026,1,-0.0231
300026,2,-0.1674
300026,3,-0.109
300026,4,-0.0553
300026,5,-0.0348
300026,6,0.0133
300026,7,-0.0286
300026,8,-0.0388
300026,9,-0.0304
300026,10,-0.0408
300026,11,0.0312
300026,12,0.0172
300026,13,0.0373
300026,14,-0.0663
300026,15,-0.0267
300026,16,0.0055
300026,17,-0.004
300026,18,0.0173
300026,19,0.047
300026,20,-0.0515
300027,0,1.0
300027,1,-0.0187
300027,2,-0.1279
300027,3,-0.1014
300027,4,-0.1153
300027,5,-0.0362
300027,6,-0.0212
300027,7,-0.0093
300027,8,-0.0566
300027,9,-0.0537
300027,10,0.0816
300027,11,0.0262
300027,12,-0.0352
300027,13,0.0323
300027,14,-0.0463
300027,15,0.0178
300027,16,-0.0192
300027,17,-0.0011
300027,18,-0.0273
300027,19,-0.0047
300027,20,0.0116
300028,0,1.0
300028,1,-0.0506
300028,2,-0.1689
300028,3,-0.0989
300028,4,-0.0633
300028,5,-0.0379
300028,6,-0.0226
300028,7,-0.0284
300028,8,0.0163
300028,9,-0.0165
300028,10,-0.0139
300028,11,0.016
300028,12,-0.0075
300028,13,-0.0038
300028,14,-0.0328
300028,15,-0.0072
300028,16,0.0198
300028,17,0.0014
300028,18,0.0002
300028,19,0.0142
300028,20,0.0171
300029,0,1.0
300029,1,-0.0189
300029,2,-0.1394
300029,3,-0.0771
300029,4,-0.0935
300029,5,-0.0411
300029,6,-0.0079
300029,7,-0.0358
300029,8,-0.0336
300029,9,0.0022
300029,10,-0.0216
300029,11,-0.0332
300029,12,0.046
300029,13,0.005
300029,14,0.0102
300029,15,-0.03
300029,16,-0.0234
300029,17,0.0041
300029,18,0.0217
300029,19,-0.0141
300029,20,0.0082
300030,0,1.0
300030,1,-0.024
300030,2,-0.1398
300030,3,-0.1258
300030,4,-0.1054
300030,5,-0.0445
300030,6,-0.0256
300030,7,-0.0295
300030,8,0.0006
300030,9,0.0106
300030,10,0.0179
300030,11,-0.0253
300030,12,0.0113
300030,13,0.0033
300030,14,0.0685
300030,15,-0.0684
300030,16,-0.0179
300030,17,0.0141
300030,18,-0.0281
300030,19,0.0254
300030,20,-0.019
300031,0,1.0
300031,1,-0.0258
300031,2,-0.169
300031,3,-0.121
300031,4,-0.0693
300031,5,-0.0366
300031,6,-0.0059
300031,7,-0.0503
300031,8,-0.0157
300031,9,0.0006
300031,10,0.0379
300031,11,-0.0457
300031,12,0.02
300031,13,0.0191
300031,14,-0.0102
300031,15,-0.0477
300031,16,0.0297
300031,17,-0.0228
300031,18,-0.0095
300031,19,-0.0
300031,20,0.0297
300032,0,1.0
300032,1,-0.0172
300032,2,-0.1382
300032,3,-0.0606
300032,4,-0.0585
300032,5,-0.0519
300032,6,-0.0535
300032,7,-0.0284
300032,8,-0.0113
300032,9,-0.0011
300032,10,-0.0289
300032,11,-0.0031
300032,12,0.0332
300032,13,-0.0053
300032,14,-0.0287
300032,15,-0.0148
300032,16,-0.0242
300032,17,-0.0545
300032,18,0.0791
300032,19,-0.0034
300032,20,-0.009
300033,0,1.0
300033,1,-0.017
300033,2,-0.1339
300033,3,-0.095
300033,4,-0.0927
300033,5,-0.0594
300033,6,-0.0669
300033,7,-0.028
300033,8,-0.0656
300033,9,-0.0044
300033,10,0.0374
300033,11,0.1095
300033,12,-0.0277
300033,13,-0.0377
300033,14,-0.067
300033,15,-0.0392
300033,16,0.1323
300033,17,-0.0008
300033,18,0.0264
300033,19,-0.0336
300033,20,-0.0171
300034,0,1.0
300034,1,-0.0255
300034,2,-0.1593
300034,3,-0.123
300034,4,-0.0659
300034,5,-0.0451
300034,6,-0.0423
300034,7,-0.0427
300034,8,0.039
300034,9,-0.033
300034,10,-0.0585
300034,11,-0.0182
300034,12,0.0329
300034,13,0.0253
300034,14,0.0583
300034,15,-0.0082
300034,16,0.001
300034,17,0.0485
300034,18,-0.0472
300034,19,-0.0293
300034,20,-0.0575
300035,0,1.0
300035,1,-0.0222
300035,2,-0.1564
300035,3,-0.0947
300035,4,-0.0752
300035,5,-0.0729
300035,6,0.0031
300035,7,-0.0166
300035,8,0.018
300035,9,-0.018
300035,10,-0.0193
300035,11,-0.0086
300035,12,-0.058
300035,13,-0.0185
300035,14,0.019
300035,15,0.0004
300035,16,0.0124
300035,17,-0.0071
300035,18,-0.0142
300035,19,-0.0231
300035,20,0.0031
300036,0,1.0
300036,1,-0.0227
300036,2,-0.1559
300036,3,-0.0671
300036,4,-0.0677
300036,5,-0.0513
300036,6,0.0389
300036,7,-0.0292
300036,8,-0.0662
300036,9,-0.0155
300036,10,-0.0232
300036,11,0.0138
300036,12,0.0025
300036,13,-0.0331
300036,14,-0.0041
300036,15,0.0068
300036,16,-0.0183
300036,17,-0.0093
300036,18,0.0116
300036,19,-0.0251
300036,20,-0.0105
300037,0,1.0
300037,1,-0.0193
300037,2,-0.1409
300037,3,-0.0892
300037,4,-0.0669
300037,5,-0.0566
300037,6,-0.0298
300037,7,-0.0477
300037,8,0.0328
300037,9,-0.02
300037,10,-0.0224
300037,11,0.0226
300037,12,-0.0331
300037,13,-0.0256
300037,14,-0.0233
300037,15,0.0054
300037,16,0.0284
300037,17,-0.0395
300037,18,-0.0534
300037,19,-0.003
300037,20,-0.0035
300038,0,1.0
300038,1,-0.018
300038,2,-0.1338
300038,3,-0.0839
300038,4,-0.0689
300038,5,-0.0835
300038,6,-0.01
300038,7,0.0096
300038,8,0.0018
300038,9,-0.0436
300038,10,-0.033
300038,11,-0.0411
300038,12,0.0075
300038,13,-0.0189
300038,14,-0.0134
300038,15,0.0442
300038,16,0.0051
300038,17,-0.0248
300038,18,0.0058
300038,19,-0.0443
300038,20,-0.0207
300039,0,1.0
300039,1,-0.0195
300039,2,-0.1387
300039,3,-0.1117
300039,4,-0.0209
300039,5,-0.0272
300039,6,-0.0481
300039,7,-0.0379
300039,8,0.0033
300039,9,-0.0281
300039,10,-0.0085
300039,11,-0.0127
300039,12,-0.0089
300039,13,0.0457
300039,14,-0.0452
300039,15,-0.0278
300039,16,0.0326
300039,17,0.0067
300039,18,-0.0287
300039,19,-0.0342
300039,20,0.0057
600053,0,1.0
600053,1,-0.0187
600053,2,-0.1364
600053,3,-0.0653
600053,4,-0.06
600053,5,-0.0735
600053,6,-0.0214
600053,7,-0.0505
600053,8,-0.0157
600053,9,0.0095
600053,10,-0.0313
600053,11,0.0256
600053,12,0.0061
600053,13,-0.0087
600053,14,-0.0262
600053,15,-0.0364
600053,16,-0.0025
600053,17,0.0304
600053,18,0.0353
600053,19,0.0017
600053,20,-0.0386
600054,0,1.0
600054,1,-0.0299
600054,2,-0.1645
600054,3,-0.101
600054,4,-0.0406
600054,5,-0.0767
600054,6,-0.0439
600054,7,-0.0248
600054,8,0.0162
600054,9,0.0048
600054,10,-0.0037
600054,11,-0.0379
600054,12,0.0068
600054,13,-0.0021
600054,14,-0.0127
600054,15,0.0263
600054,16,-0.0276
