Asset_Number,Incident_Date,Gap_Days
100080,2021-04-17 15:58:22,
100080,2021-04-26 15:58:22,9.0
100080,2021-05-04 15:58:22,8.0
100080,2021-05-22 15:58:22,18.0
100080,2021-06-14 15:58:22,23.0
100080,2021-07-04 15:58:22,20.0
100080,2021-07-19 15:58:22,15.0
100080,2021-08-06 15:58:22,18.0
100080,2021-08-10 15:58:22,4.0
100080,2021-08-11 15:58:22,1.0
100080,2021-09-13 15:58:22,33.0
100080,2021-10-14 15:58:22,31.0
100080,2021-10-17 15:58:22,3.0
100080,2021-10-31 15:58:22,14.0
100080,2021-11-07 15:58:22,7.0
100080,2021-11-29 15:58:22,22.0
100080,2021-12-22 15:58:22,23.0
100080,2022-01-03 15:58:22,12.0
100080,2022-01-05 15:58:22,2.0
100080,2022-01-13 15:58:22,8.0
100080,2022-01-19 15:58:22,6.0
100080,2022-02-05 15:58:22,17.0
100080,2022-03-21 15:58:22,44.0
100080,2022-04-01 15:58:22,11.0
100080,2022-04-01 15:58:22,0.0
100080,2022-05-05 15:58:22,34.0
100080,2022-05-14 15:58:22,9.0
100080,2022-05-30 15:58:22,16.0
100080,2022-06-05 15:58:22,6.0
100080,2022-06-09 15:58:22,4.0
100080,2022-06-20 15:58:22,11.0
100080,2022-06-21 15:58:22,1.0
100080,2022-06-25 15:58:22,4.0
100080,2022-07-16 15:58:22,21.0
100080,2022-07-23 15:58:22,7.0
100080,2022-08-15 15:58:22,23.0
100080,2022-08-22 15:58:22,7.0
100080,2022-08-27 15:58:22,5.0
100080,2022-09-13 15:58:22,17.0
100080,2022-09-14 15:58:22,1.0
100080,2022-10-16 15:58:22,32.0
100080,2022-10-20 15:58:22,4.0
100080,2022-10-22 15:58:22,2.0
100080,2022-10-30 15:58:22,8.0
100080,2022-11-08 15:58:22,9.0
100080,2022-11-10 15:58:22,2.0
100080,2022-11-18 15:58:22,8.0
100080,2022-11-20 15:58:22,2.0
100080,2022-12-16 15:58:22,26.0
100080,2022-12-22 15:58:22,6.0
100080,2022-12-29 15:58:22,7.0
100080,2023-02-01 15:58:22,34.0
100080,2023-02-03 15:58:22,2.0
100080,2023-02-09 15:58:22,6.0
100080,2023-02-18 15:58:22,9.0
100080,2023-02-18 15:58:22,0.0
100080,2023-02-20 15:58:22,2.0
100080,2023-02-22 15:58:22,2.0
100080,2023-03-04 15:58:22,10.0
100080,2023-03-17 15:58:22,13.0
100080,2023-04-12 15:58:22,26.0
100080,2023-04-18 15:58:22,6.0
100080,2023-04-22 15:58:22,4.0
100080,2023-04-26 15:58:22,4.0
100080,2023-05-08 15:58:22,12.0
100080,2023-05-22 15:58:22,14.0
100080,2023-05-28 15:58:22,6.0
100080,2023-05-31 15:58:22,3.0
100080,2023-06-27 15:58:22,27.0
100080,2023-09-05 15:58:22,70.0
100080,2023-09-19 15:58:22,14.0
100080,2023-09-25 15:58:22,6.0
100080,2023-10-01 15:58:22,6.0
100080,2023-10-09 15:58:22,8.0
100080,2023-10-31 15:58:22,22.0
100080,2023-11-10 15:58:22,10.0
100080,2023-11-28 15:58:22,18.0
100080,2023-11-30 15:58:22,2.0
100080,2023-12-04 15:58:22,4.0
100080,2024-01-02 15:58:22,29.0
100080,2024-01-07 15:58:22,5.0
100080,2024-01-19 15:58:22,12.0
